iso3,year,deaths,gdp_pc,vehicles_pc,pop_total,death_rate,log_pop
LTU,2002,0,7374.09777788834,NA,3443067,0,15.051873201904776
LTU,2003,0,8218.69324974821,NA,3415213,0,15.043750420930708
LTU,2004,0,8851.92600601146,NA,3377075,0,15.032520508182385
LTU,2005,0,9692.86837221713,NA,3322528,0,15.01623649692304
LTU,2006,0,10577.214234025,NA,3269909,0,15.000272713740031
LTU,2007,0,11889.354545844,NA,3231294,0,14.988393234167441
LTU,2008,0,12324.5195097128,NA,3198231,0,14.978108402412788
LTU,2009,0,10612.9203246688,NA,3162916,0,14.967004944869064
LTU,2010,0,10884.1160456797,NA,3097282,0,14.946035510670518
LTU,2011,0,11836.7199700848,NA,3028115,0,14.923450871682235
LTU,2012,0,12522.3408614335,NA,2987773,0,14.910038851800074
LTU,2013,0,13161.6342669635,NA,2957689,0,14.899918778118264
LTU,2014,0,13776.1052981213,NA,2932367,0,14.891320504687561
LTU,2015,0,14300.2553666736,NA,2904910,0,14.8819129667211
LTU,2016,0,14870.1049461514,NA,2868231,0,14.869206021391214
LTU,2017,0,15775.00059445,NA,2828403,0,14.855222799382004
LTU,2018,0,16709.5561779447,NA,2801543,0,14.845680894789904
LTU,2019,0,17537.4819556631,NA,2794137,0,14.843033851240456
LTU,2020,0,17540.2948595021,NA,2794885,0,14.843301518823251
LTU,2021,0,18619.7026827218,NA,2800839,0,14.84542957311862
LTU,2022,0,18884.5148575051,NA,2831639,0,14.85636625391912
LUX,1967,0,30840.0249219752,NA,334995,0,12.721870885322685
LUX,1968,0,32048.5354843166,NA,335850,0,12.72441991069501
LUX,1969,0,35072.3830257911,NA,337500,0,12.729320789294722
LUX,1970,0,35513.8009854427,NA,339171,0,12.734259683961936
LUX,1971,0,36114.9765484434,NA,342421,0,12.743796253144708
LUX,1972,0,38033.7401625331,NA,346600,0,12.755926656263643
LUX,1973,0,40742.7918500131,NA,350450,0,12.766973321928472
LUX,1974,0,41908.9752721689,NA,355050,0,12.78001390361024
LUX,1975,0,38729.5604581864,NA,358950,0,12.79093838200463
LUX,1976,0,39515.0353486263,NA,360731,0,12.795887807196438
LUX,1977,0,40065.6914169583,NA,361358,0,12.79762443566628
LUX,1978,0,41623.6010396531,NA,362007,0,12.799418827637526
LUX,1979,0,42500.2548997291,NA,362856,0,12.801761340328147
LUX,1980,0,42705.3385418472,NA,364150,0,12.805321149646062
LUX,1981,0,42345.0451531547,NA,365225,0,12.808268881000714
LUX,1982,0,42788.9485611364,NA,365525,0,12.80908995528564
LUX,1983,0,44056.251468465,NA,365622,0,12.80935529180639
LUX,1984,0,46733.9235529516,NA,365998,0,12.810383147887698
LUX,1985,0,47945.8483699444,NA,366706,0,12.812315716074455
LUX,1986,0,52496.6662006102,NA,368355,0,12.816802426065257
LUX,1987,0,54218.2753941324,NA,370750,0,12.823283260000178
LUX,1988,0,58381.7542558669,NA,373450,0,12.830539405785213
LUX,1989,0,63481.5847355331,NA,377100,0,12.840265683246448
LUX,1990,0,66027.0758007817,NA,381850,0,12.85278314031653
LUX,1991,0,70779.9729147771,NA,387000,0,12.866179972011919
LUX,1992,0,71116.9400892209,NA,392175,0,12.879463447724442
LUX,1993,0,73116.1946629406,NA,397475,0,12.89288731801691
LUX,1994,0,74883.1418537888,NA,402925,0,12.90650571939092
LUX,1995,0,74896.0965788046,NA,408625,0,12.920553144026512
LUX,1996,0,74916.5067672272,NA,414225,0,12.934164583437498
LUX,1997,0,77993.0585335828,NA,419450,0,12.946699608274441
LUX,1998,0,82170.2399212578,NA,424700,0,12.959138316301363
LUX,1999,0,87695.33957586,NA,430475,0,12.972644529154387
LUX,2000,0,92527.7118069642,NA,436300,0,12.986085359111701
LUX,2001,0,94243.7073233917,NA,441525,0,12.997989922564571
LUX,2002,0,96269.5793851216,NA,446175,0,13.008466530724217
LUX,2003,0,97597.9969176553,NA,451630,0,13.02061853952068
LUX,2004,0,100292.568479162,NA,458095,0,13.034831865167812
LUX,2005,0,101222.045664401,NA,465158,0,13.050132411801899
LUX,2006,0,105614.179863952,NA,472637,0,13.066082930979347
LUX,2007,0,112417.878458001,NA,479993,0,13.081526799444402
LUX,2008,0,110094.792338745,NA,488650,0,13.099401765766983
LUX,2009,0,104574.349887682,NA,497783,0,13.117919518071346
LUX,2010,0,106544.057241723,NA,506953,0,13.136173576106584
LUX,2011,0,105290.249048827,NA,518347,0,13.158400181139255
LUX,2012,0,104487.744238704,NA,530946,0,13.182415600137544
LUX,2013,0,105338.956059283,NA,543360,0,13.205527362665064
LUX,2014,0,105583.937014123,NA,556319,0,13.22909714971347
LUX,2015,0,105462.012584423,NA,569604,0,13.252696661527155
LUX,2016,0,108351.452158933,NA,582014,0,13.274249781407077
LUX,2017,0,107142.127556443,NA,596336,0,13.298559545584688
LUX,2018,0,106376.783565763,NA,607950,0,13.317847920724564
LUX,2019,0,107350.626687276,NA,620001,0,13.3374763699232
LUX,2020,0,104616.03467801,NA,630419,0,13.354139956665527
LUX,2021,0,110425.88843286,NA,640064,0,13.369323450336188
LUX,2022,0,109714.924316129,NA,653103,0,13.38949012935746
LVA,1980,0,NA,NA,2511701,0,14.736470770823333
LVA,1981,0,NA,NA,2519421,0,14.739539671183534
LVA,1982,0,NA,NA,2531080,0,14.744156647087792
LVA,1983,0,NA,NA,2546011,0,14.750038378592905
LVA,1984,0,NA,NA,2562047,0,14.756317106313483
LVA,1985,0,NA,NA,2578873,0,14.76286303975798
LVA,1986,0,NA,NA,2599892,0,14.770980463667426
LVA,1987,0,NA,NA,2626583,0,14.781194319866763
LVA,1988,0,NA,NA,2653434,0,14.791365208131257
LVA,1989,0,NA,NA,2666955,0,14.796447930130913
LVA,1990,0,7622.69843955032,NA,2663151,0,14.795020566155095
LVA,1991,0,6694.19910155276,NA,2650581,0,14.79028941921469
LVA,1992,0,4607.11390600301,NA,2614338,0,14.77652146855634
LVA,1993,0,4464.72124061395,NA,2563290,0,14.756802147599304
LVA,1994,1,4639.50576165125,NA,2520742,0.03967085881855422,14.740063860591793
LVA,1995,1,4661.66851148723,NA,2485056,0.04024054186304051,14.725805752470219
LVA,1996,1,4822.90396636409,NA,2457222,0.04069636361712536,14.714542001511985
LVA,1997,1,5317.98018252187,NA,2432851,0.041104038019591005,14.70457437862441
LVA,1998,1,5719.98922340219,NA,2410019,0.041493448806835136,14.695145189253187
LVA,1999,0,5929.26760970467,NA,2390482,0,14.687005577214466
LVA,2000,0,6336.38310612599,NA,2367550,0,14.677366223143542
LVA,2001,0,6833.4352857494,NA,2337170,0,14.664451353708055
